coachName,nationality,nationality2,teamName,teamCountry
Luigi Simoni,Italy,,A.S. Gubbio 1910,Italy
Luigi Simoni,Italy,,Lucchese 1905,Italy
Luigi Simoni,Italy,,Piacenza Calcio,Italy
Luigi Simoni,Italy,,Inter Milan,Italy
Luigi Simoni,Italy,,Carrarese Calcio,Italy
Luigi Simoni,Italy,,Brescia Calcio,Italy
Luigi Simoni,Italy,,Empoli FC,Italy
Luigi Simoni,Italy,,U.S. Cremonese,Italy
Lajos Czeizler,Hungary,,AC Milan,Italy
Massimo Oddo,Italy,,Delfino Pescara 1936,Italy
Fabio Grosso,Italy,,FC Sion,Switzerland
Fabio Grosso,Italy,,SSC Bari,Italy
Fabio Grosso,Italy,,Brescia Calcio,Italy
Fabio Grosso,Italy,,Olympique Lyonnais,France
Fabio Grosso,Italy,,Frosinone Calcio,Italy
Fabio Grosso,Italy,,US Sassuolo Calcio,Italy
Fabio Grosso,Italy,,Hellas Verona FC,Italy
Cristian Brocchi,Italy,,AC Milan,Italy
Franco Scoglio,Italy,,Città di Acireale 1946,Italy
Franco Scoglio,Italy,,Cosenza Calcio,Italy
Franco Scoglio,Italy,,Bologna F.C. 1909,Italy
Franco Scoglio,Italy,,A.C. Ancona,Italy
Franco Scoglio,Italy,,Genoa CFC,Italy
Franco Scoglio,Italy,,Genoa CFC,Italy
Franco Scoglio,Italy,,Genoa CFC,Italy
Franco Scoglio,Italy,,SSC Napoli,Italy
Franco Scoglio,Italy,,Delfino Pescara 1936,Italy
Franco Scoglio,Italy,,Libya men's national football team,National
Franco Scoglio,Italy,,Torino FC,Italy
Franco Scoglio,Italy,,Tunisia men's national football team,National
Franco Scoglio,Italy,,Udinese Calcio,Italy
Franco Scoglio,Italy,,A.C.R. Messina,Italy
Franco Scoglio,Italy,,A.C.R. Messina,Italy
Franco Scoglio,Italy,,A.C.R. Messina,Italy
Franco Scoglio,Italy,,A.C.R. Messina,Italy
Franco Scoglio,Italy,,Lucchese 1905,Italy
Franco Scoglio,Italy,,ASD Akragas 2018,Italy
Franco Scoglio,Italy,,A.S.D Gioiese 1918,Italy
Franco Scoglio,Italy,,A.S.D Gioiese 1918,Italy
Franco Scoglio,Italy,,A.S.D Gioiese 1918,Italy
Franco Scoglio,Italy,,F.C. Crotone,Italy
Franco Scoglio,Italy,,AS Reggina 1914,Italy
Franco Scoglio,Italy,,AS Reggina 1914,Italy
